SSC Marks,HSSC Marks,Entry Test Score Marks,Cluster
653,806,58,2
590,607,72,2
468,987,59,2
718,643,90,2
693,690,74,2
768,747,51,2
711,767,70,2
666,768,36,2
556,917,47,2
559,581,42,2
731,599,46,2
455,953,61,2
879,597,63,2
726,728,82,2
494,888,82,2
619,739,61,2
463,819,40,2
610,639,40,2
702,716,89,2
547,806,71,2
823,708,85,2
580,801,52,2
480,825,90,2
491,862,81,2
411,566,81,2
549,757,89,2
802,674,87,2
509,780,43,2
444,926,48,2
438,598,75,2
599,561,55,2
491,927,52,2
739,753,44,2
427,553,68,2
819,645,52,2
562,811,53,2
754,664,68,2
548,657,41,2
455,968,85,2
527,878,57,2
487,693,48,2
775,586,84,2
725,576,72,2
524,733,55,2
422,847,40,2
740,728,41,2
564,610,56,2
669,689,53,2
777,605,45,2
420,622,65,2
635,646,77,2
496,771,56,2
720,578,64,2
403,877,76,2
811,645,83,2
841,683,82,2
663,753,54,2
488,925,70,2
689,653,45,2
591,763,44,2
476,708,90,2
568,819,82,2
460,779,57,2
409,860,42,2
743,757,51,2
635,677,72,2
888,621,55,2
618,735,79,2
603,582,81,2
764,750,68,2
660,563,64,2
709,571,76,2
476,559,94,2
816,696,67,2
572,656,72,2
429,693,65,2
730,707,65,2
439,799,63,2
607,874,78,2
883,621,91,2
529,653,92,2
747,587,48,2
434,804,63,2
501,800,91,2
541,770,50,2
549,834,44,2
407,725,74,2
495,981,42,2
615,791,80,2
510,612,69,2
433,586,79,2
412,821,41,2
544,760,75,2
466,709,92,2
472,911,41,2
587,707,58,2
644,569,41,2
792,724,48,2
539,703,56,2
580,601,44,2
630,670,66,2
788,737,81,2
500,710,89,2
646,578,73,2
661,760,65,2
639,741,88,2
604,785,54,2
689,668,90,2
660,609,62,2
516,783,53,2
619,717,60,2
871,582,60,2
553,662,49,2
532,948,55,2
594,609,71,2
702,786,62,2
505,871,70,2
550,655,40,2
571,751,49,2
530,737,54,2
792,631,69,2
767,680,67,2
579,766,89,2
730,690,59,2
714,601,65,2
626,612,59,2
859,672,57,2
592,750,76,2
544,861,86,2
703,768,89,2
531,642,42,2
597,819,66,2
629,570,73,2
697,784,83,2
639,631,95,2
756,638,46,2
