Sales,Profit,Quantity,Cluster
5495.0,1769.0,4.0,2
3341.0,-993.0000000000003,3.0,2
3090.0,2763.0,6.0,2
6604.0,5799.0,8.0,2
2960.0,3180.0,1.0,2
2664.0,-564.0,4.0,2
1661.0,3818.0,5.0,2
4138.0,3866.0,4.0,2
2699.0,1208.0,1.0,2
2640.0,4463.0,1.0,2
772.0,776.0,4.0,2
2580.0,-2661.0,2.0,2
2294.0,-1823.0,4.0,2
2015.9999999999993,-2206.0,5.0,2
604.0,3684.0,9.0,2
3730.0,3098.0,1.0,2
4447.0,1144.0,1.0,2
1372.0,2474.0,1.0,2
3202.0,-663.0,4.0,2
4437.0,4195.0,2.0,2
773.0,4210.0,7.0,2
1433.0,-2536.000000000001,2.0,2
5294.0,4433.0,2.0,2
4613.0,2406.0,4.0,2
1865.0,2714.0,4.0,2
1700.0,1696.0,5.0,2
1342.0,1862.0,2.0,2
120.0,4845.0,2.0,2
996.0,2950.0,7.0,2
2542.0,3841.0,4.0,2
2956.0,1057.0,4.0,2
4152.0,1515.0,4.0,2
6559.0,956.0,7.0,2
2885.0,3515.0,1.0,2
1961.9999999999993,4439.0,3.0,2
641.0,4874.0,5.0,2
3009.0,4781.0,6.0,2
6550.0,3394.0,10.0,2
2894.0,724.0,2.0,2
1323.0,1285.0,1.0,2
6135.0,523.9999999999999,5.0,2
75.0,-1965.0,5.0,2
2988.0,-1813.0,2.0,2
6480.0,3360.0,6.0,2
6718.0,1562.0,5.0,2
6300.0,4467.0,7.0,2
335.0,3713.0,9.0,2
6349.0,326.0,7.0,2
333.0,-2081.0,2.0,2
4378.0,5205.0,5.0,2
5738.0,1261.0,7.0,2
6748.0,3880.0,5.0,2
7241.0,522.0,9.0,2
3832.0,2227.0,4.0,2
2401.0,4413.0,7.0,2
6249.0,3019.0,10.0,2
4642.0,3383.0,9.0,2
2811.0,5855.0,1.0,2
5489.0,3943.0,8.0,2
1140.0,4136.999999999999,1.0,2
1504.0,3862.0,6.0,2
4781.0,2267.0,1.0,2
1515.0,4167.0,1.0,2
638.0,3204.0,9.0,2
4579.0,3067.0,3.0,2
5.0,3509.0,3.0,2
966.0,2162.0,9.0,2
1902.0000000000007,-2742.0,1.0,2
5912.0,204.0,4.0,2
7040.0,3976.0,8.0,2
4114.0,3028.0,6.0,2
3106.0,5552.0,2.0,2
3448.0,5227.0,2.0,2
644.0,2477.0,5.0,2
1307.0,1854.0,1.0,2
4557.0,3982.0,2.0,2
4397.0,1859.0,7.0,2
333.0,1522.0,3.0,2
5760.0,1000.0,5.0,2
161.0,-975.0000000000003,3.0,2
633.0,-1598.0000000000002,4.0,2
1176.0,2976.0,6.0,2
3093.0,2093.0,4.0,2
2794.0,3606.0,6.0,2
7951.0,3497.0,7.0,2
2722.0,4456.0,4.0,2
2096.0,3985.0,1.0,2
5231.0,1098.0,4.0,2
1470.0,-1594.0000000000002,4.0,2
1882.0,5799.0,3.0,2
1833.0,1370.0,5.0,2
838.0,5581.0,3.0,2
6727.0,2522.0,9.0,2
3897.0,3139.0,9.0,2
5869.0,2060.0,4.0,2
4490.0,4177.0,3.0,2
3372.0,-164.00000000000026,2.0,2
2788.0,4018.0,4.0,2
2713.0,-1892.0,1.0,2
1571.0,4469.0,4.0,2
3711.0,4561.999999999999,1.0,2
762.0,3876.0,1.0,2
2423.0,-1702.0000000000002,2.0,2
3708.0,2400.0,1.0,2
617.0,-1624.0000000000002,1.0,2
2971.0,5014.999999999999,2.0,2
4418.0,-33.0,5.0,2
866.0,89.0,5.0,2
2197.0,2118.0,8.0,2
7210.0,4260.0,6.0,2
4928.0,3895.0,3.0,2
4123.0,5956.0,6.0,2
1436.0,5966.0,3.0,2
7069.0,-74.0,7.0,2
3112.0,-1386.0000000000007,5.0,2
1776.0,4558.0,6.0,2
4334.0,5534.0,5.0,2
4878.0,1194.0,2.0,2
499.0,-2487.0,1.0,2
6512.0,153.0,5.0,2
962.0,5206.0,1.0,2
3277.0,5907.0,5.0,2
936.0,1117.0,1.0,2
3993.0,1873.0,5.0,2
4889.0,2365.0,3.0,2
5112.0,2379.0,5.0,2
645.0,-3113.0,5.0,2
2724.0,5495.0,8.0,2
1781.0,3854.0,6.0,2
2906.0,93.0,5.0,2
1851.0,219.0,4.0,2
925.0,-1003.0000000000003,2.0,2
4788.0,3832.0,2.0,2
4476.0,2721.0,4.0,2
5562.0,3331.0,5.0,2
6919.0,973.0,7.0,2
747.0,1566.0,2.0,2
130.0,5757.0,3.0,2
3053.0,481.99999999999983,6.0,2
3746.0,2832.0,6.0,2
4566.0,1625.0,6.0,2
5524.0,1865.0,5.0,2
3186.0,-26.0,1.0,2
1089.0,-359.0,3.0,2
3282.0,5849.0,2.0,2
1743.0,4271.999999999999,1.0,2
3984.0,3790.0,2.0,2
1822.0,3750.0,4.0,2
4214.0,3405.0,8.0,2
1688.0,-2616.0,4.0,2
342.0,3241.0,3.0,2
1470.0,-3273.0,1.0,2
1627.0,-136.00000000000023,2.0,2
2953.0,3513.0,5.0,2
4031.0,-664.0,1.0,2
3718.0,2913.0,6.0,2
4984.0,2266.0,5.0,2
4652.0,2779.0,5.0,2
251.0,2266.0,2.0,2
4776.0,3470.0,4.0,2
845.0,5757.0,2.0,2
2232.0,5268.0,3.0,2
2661.0,1746.0,4.0,2
735.0,2463.0,5.0,2
4955.0,1827.0,7.0,2
5118.0,4296.0,1.0,2
710.0,4783.0,1.0,2
3648.0,-1084.0000000000002,2.0,2
3557.0,4859.0,2.0,2
5799.0,4210.0,3.0,2
4890.0,4229.0,3.0,2
6.0,-2759.0,5.0,2
5562.0,4212.0,6.0,2
5366.0,5085.0,6.0,2
7032.0,3983.0,6.0,2
3804.0,330.0,3.0,2
4021.0,5641.0,2.0,2
2431.0,2098.0,5.0,2
1860.0,1797.0,2.0,2
5693.0,750.0,4.0,2
868.0,-61.0,1.0,2
2409.0,4283.0,4.0,2
792.0,3637.0,3.0,2
6791.0,2379.0,9.0,2
3912.0,5152.0,4.0,2
6378.0,1122.0,4.0,2
5785.0,3686.0,6.0,2
2929.0,-392.0,6.0,2
5458.0,-13.0,4.0,2
1977.0000000000007,1136.0,3.0,2
5786.0,991.0,8.0,2
5084.0,383.0,3.0,2
4661.0,2142.0,3.0,2
2317.0000000000005,457.0,4.0,2
211.0,3773.0,8.0,2
4037.0,859.0,2.0,2
7261.0,3375.0,6.0,2
613.0,-2699.000000000001,2.0,2
