SSC Marks,HSSC Marks,Entry Test Score Marks
422,522,61
881,848,47
949,943,37
653,806,58
989,490,89
706,820,53
571,409,72
520,435,72
899,990,40
590,607,72
591,555,71
942,448,49
468,987,59
658,506,89
718,643,90
503,535,42
993,842,42
693,690,74
768,747,51
938,800,60
711,767,70
564,422,81
666,768,36
953,631,63
556,917,47
580,443,75
559,581,42
731,599,46
455,953,61
906,936,60
879,597,63
687,467,57
628,542,55
726,728,82
494,888,82
970,819,82
998,869,42
902,547,61
549,467,70
799,519,65
414,489,58
798,766,46
690,919,46
848,417,88
627,901,36
895,431,43
619,739,61
667,1000,74
463,819,40
625,537,45
610,639,40
965,793,46
707,515,50
702,716,89
965,463,63
547,806,71
881,881,69
813,471,65
823,708,85
580,801,52
480,825,90
636,877,65
491,862,81
411,566,81
500,480,71
543,469,70
549,757,89
802,674,87
652,987,61
895,776,52
509,780,43
854,852,56
1000,586,67
981,653,82
444,926,48
599,975,45
875,898,56
877,746,76
436,502,55
651,514,61
967,841,52
937,970,55
444,513,80
801,405,78
921,775,71
438,598,75
599,561,55
402,531,54
541,434,36
903,772,42
995,1000,52
491,927,52
509,460,53
827,512,56
739,753,44
876,452,68
977,743,60
995,444,49
774,930,88
427,553,68
468,478,48
819,645,52
587,456,67
592,486,75
528,440,63
562,811,53
754,664,68
534,500,77
881,970,43
454,402,61
680,411,77
974,577,80
580,487,42
780,434,60
852,812,49
815,843,44
548,657,41
436,431,62
677,504,64
530,532,65
430,493,62
734,543,45
696,933,72
455,968,85
527,878,57
487,693,48
775,586,84
507,434,86
725,576,72
524,733,55
929,582,77
656,870,47
562,450,78
422,847,40
740,728,41
564,610,56
937,859,71
603,996,80
718,522,80
669,689,53
727,405,42
777,605,45
420,622,65
635,646,77
874,801,90
462,415,65
973,608,47
496,771,56
883,671,88
995,970,47
803,815,61
720,578,64
403,877,76
613,552,73
553,407,77
903,419,66
897,514,77
433,422,87
824,406,86
811,645,83
841,683,82
781,872,46
665,554,40
852,917,78
851,800,90
903,730,67
663,753,54
488,925,70
559,987,69
689,653,45
591,763,44
949,789,64
838,441,86
624,976,70
476,708,90
932,419,50
568,819,82
536,455,74
923,924,43
576,487,62
460,779,57
965,715,43
468,491,55
833,432,81
671,562,58
409,860,42
705,431,80
743,757,51
864,991,47
635,677,72
771,490,67
888,621,55
896,422,75
855,914,59
435,515,74
774,498,69
959,484,64
618,735,79
789,971,87
603,582,81
663,904,67
764,750,68
768,982,52
407,468,91
763,480,87
952,498,61
660,563,64
709,571,76
961,526,82
734,789,83
476,559,94
816,696,67
572,656,72
429,693,65
409,401,47
982,439,70
730,707,65
938,574,46
439,799,63
607,874,78
883,621,91
529,653,92
499,507,43
747,587,48
434,804,63
574,542,74
927,709,78
756,832,87
610,516,78
930,920,83
988,827,43
880,512,62
490,441,70
802,449,93
610,911,43
929,852,54
793,856,80
878,496,66
941,947,70
657,896,69
501,800,91
541,770,50
871,410,84
653,404,86
705,861,58
816,452,45
961,443,91
871,889,47
549,834,44
556,541,63
407,725,74
514,455,73
744,880,52
607,442,59
491,473,69
585,537,40
495,981,42
615,791,80
998,405,87
510,612,69
840,869,42
651,453,49
433,586,79
412,821,41
544,760,75
811,976,85
731,430,70
466,709,92
636,960,67
989,449,90
809,897,54
472,911,41
736,793,70
726,423,93
668,870,66
587,707,58
905,486,95
985,616,89
635,560,50
801,931,95
400,536,81
702,931,40
996,410,95
858,882,48
644,569,41
871,554,69
897,676,88
432,495,91
432,449,84
740,529,81
792,724,48
539,703,56
673,561,50
558,481,44
911,776,79
580,601,44
797,907,74
630,670,66
763,797,55
788,737,81
969,519,67
833,972,63
674,927,91
835,876,64
500,710,89
510,538,85
761,410,44
646,578,73
914,414,45
661,760,65
887,847,88
721,844,91
639,741,88
604,785,54
818,727,72
764,426,70
689,668,90
660,609,62
516,783,53
931,783,71
619,717,60
871,582,60
803,438,67
912,992,77
987,758,47
621,468,80
847,793,61
795,505,70
910,898,61
734,975,60
553,662,49
532,948,55
771,995,67
887,561,46
846,995,83
771,482,63
966,829,61
895,506,42
594,609,71
975,466,41
918,915,46
806,809,61
995,944,71
612,542,85
702,786,62
727,841,51
788,781,52
505,871,70
698,880,95
953,430,66
550,655,40
571,751,49
971,601,75
814,423,58
530,737,54
792,631,69
524,443,42
767,680,67
773,511,89
579,766,89
730,690,59
714,601,65
805,557,63
954,611,92
700,851,87
564,997,50
626,612,59
859,672,57
804,826,53
592,750,76
844,511,68
544,861,86
599,520,90
572,501,69
703,768,89
938,628,69
648,517,54
859,795,41
531,642,42
806,959,55
788,828,80
835,724,75
597,819,66
803,755,71
629,570,73
766,998,85
697,784,83
940,732,82
679,905,64
552,499,64
528,520,87
639,631,95
903,735,50
721,921,63
604,530,74
811,436,50
666,438,62
718,404,72
756,638,46
956,761,64
