Sales,Profit,Quantity
2387,4153,8
2864,3139,12
11993,3802,6
8305,-1499,13
8732,-1987,2
7471,-2516,5
10795,50,11
5495,1769,4
3341,-993,3
3090,2763,6
10262,154,7
6604,5799,8
4519,2845,13
2629,-1267,14
2960,3180,1
2419,5975,13
2664,-564,4
429,586,11
7344,3051,13
2075,5775,10
860,748,10
11753,5008,10
11698,2249,5
8654,2324,11
8888,2647,14
7923,-2286,7
1661,3818,5
4138,3866,4
8415,4785,13
9547,-889,5
954,2053,11
2699,1208,1
11571,-1318,12
11761,290,1
5077,246,9
10664,2552,13
5469,-3095,8
11298,4490,2
3160,5306,14
1952,126,12
720,-1596,7
6564,-818,11
10134,4510,11
8931,3994,1
2640,4463,1
772,776,4
2580,-2661,2
2294,-1823,4
2016,-2206,5
11265,3286,12
604,3684,9
7769,2330,8
11395,5278,8
3182,815,10
6845,119,3
6763,1107,2
6567,967,14
11644,-180,2
3730,3098,1
4447,1144,1
4989,-2873,1
9150,500,5
6598,-1990,1
3600,-2923,5
1423,2477,14
5310,3979,11
553,-281,12
1372,2474,1
9075,-696,3
11420,-3077,1
11526,5012,6
6494,2935,3
6262,4017,12
3202,-663,4
9848,5704,14
4437,4195,2
10371,-1071,12
7168,4965,10
1820,1628,11
2061,-1477,14
9488,355,10
773,4210,7
7046,2458,12
1433,-2536,2
7235,-2973,7
9273,4574,3
1741,-1850,12
4813,-1736,11
9094,-892,10
2302,5787,13
9572,-512,3
5868,5968,12
6217,-1594,12
10580,4636,14
5294,4433,2
4613,2406,4
3751,-3068,1
3684,-1449,9
8979,-1252,2
7691,-2447,11
7833,5066,6
7823,4767,4
779,4994,11
9636,-2820,5
9911,5286,9
1750,-289,12
649,512,10
7587,-3121,12
1865,2714,4
5260,1616,2
1700,1696,5
11407,-155,8
5334,-735,2
5624,-786,10
3146,3643,12
1342,1862,2
9894,1851,4
4387,-1486,3
7269,-3039,13
3352,-642,9
7739,-2610,12
8887,2442,8
120,4845,2
996,2950,7
2542,3841,4
2956,1057,4
4152,1515,4
6559,956,7
5472,1060,1
3946,5209,14
2885,3515,1
1522,2473,12
1962,4439,3
6067,5189,4
3909,-2948,7
7642,2226,14
641,4874,5
9776,-2084,1
5825,930,1
9528,1428,8
8746,2659,7
5318,-1234,3
3009,4781,6
6550,3394,10
4046,4877,13
1600,163,9
2894,724,2
1323,1285,1
7906,2188,4
6663,-2556,12
9758,4501,5
5639,2320,12
11671,-2110,12
8342,-707,5
6135,524,5
6610,-2652,7
75,-1965,5
8772,-1684,12
4514,3638,11
7851,1252,9
10249,-2600,9
8124,1799,11
2988,-1813,2
8039,119,10
8678,2251,2
10030,-749,12
6653,-2651,9
6480,3360,6
2908,5918,13
7110,755,14
11247,-1984,12
7371,-3275,6
4721,-3147,7
7384,1409,14
3241,4038,13
8016,5361,11
2058,-994,8
3361,1393,14
6381,-2891,1
6571,680,2
2344,635,14
7760,-467,14
6718,1562,5
8593,3065,14
6300,4467,7
